COMMON	ATM	ATR	BAP1	BLM	BRCA1	BRCA2	BRIP1	CDK12	CENPA	CENPK	CENPL	CENPM	CENPN	CENPU	CENPW	CHEK1	CHEK2	FANCA	FANCC	FANCD2	FANCE	FANCF	HJURP	MRE11	NDC80	NLRP2	NUF2	OIP5	PALB2	RAD51B	RAD51C	RAD51D	SPC24	SPC25	TP53	WRN	ZWINT	
TCGA-JL-A3YX-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.16	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.5285	0.366	-0.8009	1.4102	-0.5613	1.1485	-0.2644	1.1601	0.344	1.1961	-0.1586	2.3242	-1.4571	0.1702	
TCGA-B6-A0IJ-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.4588	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.5302	2.4497	1.9072	8.2987	2.1635	-0.8443	-0.5448	-0.4455	-0.4957	2.6445	2.888	2.8503	-1.2637	1.2866	
TCGA-C8-A274-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.5321	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.773	-0.4196	-0.8085	0.9191	-0.6743	2.2938	-0.0462	-0.693	2.0993	0.3661	0.5508	0.0269	1.297	0.3219	
TCGA-D8-A27E-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.2777	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.7242	-0.9376	-0.8021	-0.931	-1.0485	-0.9911	-0.2056	0.5682	0.816	-0.9183	-1.2484	-0.8597	0.9537	-1.2456	
TCGA-C8-A12U-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.2002	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.2425	2.0813	-0.8042	3.0081	1.1359	1.8362	-0.1851	3.2377	-0.7196	0.1526	0.9033	1.5362	-1.2656	1.1978	
TCGA-A2-A4RX-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.6029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.174	0.2943	1.3339	-0.1831	-0.0283	0.2255	3.2725	-0.9765	0.4913	0.2508	-0.5499	1.2805	1.0124	-0.5217	
TCGA-BH-A0HX-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3757	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.1702	-0.416	-0.2297	-0.1278	-0.7387	0.2409	-0.3483	1.5969	-0.124	-0.5265	-0.5595	0.0123	1.6515	-0.162	
TCGA-BH-A1EY-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.7075	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.6413	-0.8027	-0.7508	-0.456	-0.3257	-0.8813	-0.359	-0.7069	-1.4438	-0.9072	-1.0887	-0.5096	-1.1357	-1.033	
TCGA-A2-A25B-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.2846	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3827	1.0095	-0.6479	4.909	1.47	2.0016	-0.3074	8.0895	7.0364	0.7949	2.0835	-0.0652	0.9965	0.3156	
TCGA-A2-A1G4-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.7435	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.2143	0.2611	1.8688	0.3685	0.5036	1.4034	-0.1903	-0.7405	0.5746	0.2662	-0.0215	-1.1903	5.8318	1.0031	
TCGA-BH-A0HB-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0502	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.6034	-0.1147	2.0516	0.8274	0.5743	-0.8985	-0.4191	3.0412	-1.5397	-0.5204	0.5241	-0.7844	-1.3035	0.8485	
TCGA-BH-A1EN-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.265	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.7436	-0.5658	0.5294	-0.5	-0.6534	-1.2385	-0.5101	0.6671	-2.1962	0.103	0.0561	-0.8833	-1.0506	0.0123	
TCGA-AR-A24T-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.5749	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.0699	-0.9685	0.2902	-0.9398	-0.8603	0.1641	-0.0786	-0.3212	0.2685	-0.9159	-1.0266	-0.399	1.333	-0.8612	
TCGA-EW-A1P7-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.1002	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.6441	-0.1368	-0.5794	-0.6519	-0.6775	-0.8518	2.2693	-0.896	0.1342	-0.7619	-1.1087	-0.2584	-0.2281	-1.0942	
TCGA-EW-A1OV-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.6189	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.1202	-0.3706	-0.7519	-0.0498	0.1532	0.9596	0.1644	0.0571	-0.6119	0.013	0.2434	-0.2686	-1.2587	1.2871	
TCGA-A1-A0SE-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.5189	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.5869	-0.2579	0.65	-0.0023	-0.4261	2.0003	0.0679	-0.3546	-0.2383	0.8159	-0.2698	-0.59	0.8112	0.0265	
TCGA-LL-A5YO-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.5436	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.4097	3.6273	3.7252	1.4047	2.4465	-0.9728	0.2129	-0.3767	-0.6621	0.684	1.0011	0.4039	-1.5607	1.1925	
TCGA-D8-A143-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0055	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.2319	1.7848	-0.7826	4.2366	2.5678	3.3081	0.6795	3.3532	3.8947	4.6084	3.0209	-1.9514	-1.0817	2.2697	
TCGA-BH-A0DG-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.5302	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.1519	-0.6477	0.2205	0.2923	-0.0646	0.1704	-0.3075	1.8999	0.1961	-0.7597	-0.6414	1.7554	-0.932	-0.2423	
TCGA-A2-A0T4-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.1629	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.1704	-0.1408	0.528	0.4799	0.0898	-0.6118	-0.2403	0.5482	1.1498	1.1483	0.2543	-0.7049	-0.3153	1.0754	
TCGA-A8-A084-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.8563	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.1193	0.1524	-0.8078	1.1094	-0.1779	0.841	-0.2879	-1.1622	-1.1244	0.6545	1.3474	-2.0549	-0.5347	0.2386	
TCGA-BH-A18T-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.0373	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.195	1.1199	-0.7913	4.3627	1.2209	3.1192	-0.1395	0.54	1.9437	0.7408	2.212	3.5878	0.0998	3.598	
TCGA-EW-A1PB-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3234	3.0325	-0.5856	0.9542	3.7367	-1.4038	-0.3404	-0.4444	0.5576	1.9779	0.38	0.6008	0.6417	-0.5436	
TCGA-D8-A1XR-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.4468	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.4272	-0.3606	-0.7896	1.6191	0.3278	1.4728	-0.2258	0.1179	0.6281	0.1157	-0.1129	0.5275	1.4199	-0.195	
TCGA-D8-A1Y3-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.5669	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.4331	0.9736	-0.7874	1.9003	5.6677	0.4341	-0.2836	3.063	-0.0028	1.9965	1.2636	-2.0499	-1.7411	2.434	
TCGA-EW-A1IY-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3563	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.7392	0.2242	-0.7732	1.0272	0.9167	1.8048	1.0166	-0.5867	0.2732	-0.934	0.7265	0.1988	1.9397	-0.6003	
TCGA-C8-A1HN-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.5852	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.8677	0.2862	3.8194	2.4621	1.9462	3.2553	-0.1322	3.6356	2.1594	-0.2016	1.091	-0.1528	-1.0058	0.434	
TCGA-AC-A2FB-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0851	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.4432	-0.5625	0.5198	-0.6559	-0.8334	-0.0177	0.5948	-0.3249	-1.367	-0.7388	-0.963	-0.7827	-0.0022	-0.782	
TCGA-BH-A0AY-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.3963	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.9956	-0.5875	-0.2443	-0.4086	0.1006	-0.3498	-0.3584	0.0549	-1.2459	-0.865	0.1583	-0.0685	-1.6485	0.1708	
TCGA-E2-A1B4-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.9456	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.0965	-0.897	-0.0588	-0.9616	-1.008	-1.4252	0.1221	0.5716	-0.7852	-0.978	-1.1162	-0.2208	-1.0419	-0.925	
TCGA-A2-A04N-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.3393	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.2819	-0.5438	1.1076	-0.6325	-0.3819	2.2281	0.077	-0.1291	-0.9996	-0.8285	-0.8756	0.8555	-1.0465	-0.5682	
TCGA-BH-A0H7-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.8182	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.1866	-0.4503	-0.3764	0.2194	-0.3113	-0.4082	-0.1422	-0.641	0.7464	-0.6009	-0.1734	-1.015	-1.1474	0.1803	
TCGA-A8-A06Q-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.8003	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.4423	0.925	1.3457	2.1542	1.0891	1.0968	-0.1515	-0.1664	-1.1801	-0.076	0.2677	0.1249	0.715	0.0554	
TCGA-AN-A04D-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.747	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.2156	4.6376	1.6821	8.1557	0.6455	2.3464	-0.3668	1.7918	3.1345	2.6021	3.4924	0.1291	-0.8392	2.9718	
TCGA-A2-A0EW-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.9504	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0835	-0.8523	0.4207	-0.8302	-0.878	-0.1664	-0.1442	-0.463	0.0338	-0.6447	-0.5266	-0.7891	-0.2035	-0.9542	
TCGA-A1-A0SP-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.9073	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.5623	2.247	1.1063	1.113	1.6679	1.3879	-0.3273	0.5381	-0.0357	0.6068	0.6681	-1.9761	2.0915	0.9668	
TCGA-BH-A18I-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.5228	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.3345	-0.4207	-0.0944	-0.3627	-0.2223	4.0801	-0.072	-0.8782	-0.4405	-0.5295	-0.1634	0.0345	1.693	-0.3648	
TCGA-BH-A1FN-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0132	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.8723	2.0661	-0.7976	4.4561	-0.0366	0.6905	0.0816	0.249	-0.0562	-0.5774	2.7257	0.3473	-0.4014	0.4389	
TCGA-BH-A0EI-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.4318	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.8624	-0.5865	-0.8072	-0.7951	-0.6021	0.4601	0.0551	-0.0443	0.3842	-0.2222	-0.5398	-1.2518	-0.5228	-0.1708	
TCGA-A2-A0CU-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.1551	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.5112	-0.5459	1.2479	-0.5364	-0.5846	-0.5035	-0.1602	0.0616	0.1141	-0.0416	0.0943	-1.2581	-1.125	-0.2411	
TCGA-BH-A209-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0688	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.9004	2.422	0.8754	7.285	1.8333	-0.4793	-0.2746	1.4448	0.1056	2.2484	1.4742	0.8752	-1.0432	1.7273	
TCGA-OL-A66I-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.5584	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.2512	1.4347	-0.6995	3.6293	0.8963	-0.0703	-0.2189	-0.0607	1.4244	0.2422	2.1557	-1.3082	0.1872	-0.5971	
TCGA-AR-A2LQ-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.8051	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0019	-0.7419	0.4206	-0.5042	-0.9031	0.0636	-0.1981	-1.0502	0.1294	-0.426	-1.1276	-0.8997	0.7647	-0.9377	
TCGA-BH-A0W3-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.1741	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.0341	-0.2948	0.8427	0.4413	0.6909	2.8291	-0.1417	0.736	2.2829	1.9214	0.6832	-0.6242	0.214	0.8073	
TCGA-GM-A3XN-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.7473	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.6656	-0.6736	0.3863	-0.2679	-0.7949	0.4289	-0.1212	-0.6528	-0.3072	-0.6922	-0.5435	0.3241	-1.1082	-0.4492	
TCGA-AC-A2FM-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.1429	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.8205	-0.7668	-0.8064	0.3936	-0.1438	0.1846	-0.2549	0.4824	1.2574	-0.5474	-0.7706	0.3218	1.8019	-0.5012	
TCGA-BH-A0BP-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.7277	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.4627	-0.9766	1.2262	-0.914	-0.7414	-0.1459	-0.4896	-0.548	-1.2129	-0.494	-0.9948	-1.0859	-0.0694	-0.9224	
TCGA-BH-A0C1-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.4979	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.2653	0.0211	-0.7566	0.4176	-0.6632	0.1217	-0.0864	-0.851	-0.6583	0.3269	0.1449	0.5117	1.5686	-0.5988	
TCGA-E9-A1R4-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.7255	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.6683	0.1759	0.7905	-0.2287	-0.2127	5.0553	-0.3433	0.3665	-0.6105	0.108	2.2322	-0.346	0.3214	-0.1659	
TCGA-D8-A27P-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.6645	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.1127	-0.8212	-0.7636	-0.7091	-0.7903	0.077	-0.0816	0.9051	-0.5861	-0.9012	-0.9937	-0.0077	0.5137	-0.9044	
